date,ticker,company,sector,close,return,forward_return,mom_20d,mom_60d
2025-09-01,0001.HK,CK Hutchison,Conglomerate,39.17,,-0.009701302016849711,,
2025-09-02,0001.HK,CK Hutchison,Conglomerate,38.79,-0.009701302016849711,-0.009538540861046552,,
2025-09-03,0001.HK,CK Hutchison,Conglomerate,38.42,-0.009538540861046552,-0.01197293076522643,,
2025-09-04,0001.HK,CK Hutchison,Conglomerate,37.96,-0.01197293076522643,0.01132771338250782,,
2025-09-05,0001.HK,CK Hutchison,Conglomerate,38.39,0.01132771338250782,-0.002083876009377428,,
2025-09-08,0001.HK,CK Hutchison,Conglomerate,38.31,-0.002083876009377428,-0.003132341425215457,,
2025-09-09,0001.HK,CK Hutchison,Conglomerate,38.19,-0.003132341425215457,-0.02592301649646489,,
2025-09-10,0001.HK,CK Hutchison,Conglomerate,37.2,-0.02592301649646489,0.00887096774193541,,
2025-09-11,0001.HK,CK Hutchison,Conglomerate,37.53,0.00887096774193541,-0.015987210231814597,,
2025-09-12,0001.HK,CK Hutchison,Conglomerate,36.93,-0.015987210231814597,0.0010831302464120451,,
2025-09-15,0001.HK,CK Hutchison,Conglomerate,36.97,0.0010831302464120451,0.004057343792263968,,
2025-09-16,0001.HK,CK Hutchison,Conglomerate,37.12,0.004057343792263968,0.018588362068965747,,
2025-09-17,0001.HK,CK Hutchison,Conglomerate,37.81,0.018588362068965747,-0.016926738957947607,,
2025-09-18,0001.HK,CK Hutchison,Conglomerate,37.17,-0.016926738957947607,-0.03927898843153077,,
2025-09-19,0001.HK,CK Hutchison,Conglomerate,35.71,-0.03927898843153077,0.0028003360403248134,,
2025-09-22,0001.HK,CK Hutchison,Conglomerate,35.81,0.0028003360403248134,0.024015638089919022,,
2025-09-23,0001.HK,CK Hutchison,Conglomerate,36.67,0.024015638089919022,0.016907553858739988,,
2025-09-24,0001.HK,CK Hutchison,Conglomerate,37.29,0.016907553858739988,0.0032180209171359664,,
2025-09-25,0001.HK,CK Hutchison,Conglomerate,37.41,0.0032180209171359664,-0.006148088746324443,,
2025-09-26,0001.HK,CK Hutchison,Conglomerate,37.18,-0.006148088746324443,0.011027434104357248,,
2025-09-29,0001.HK,CK Hutchison,Conglomerate,37.59,0.011027434104357248,-0.012237297153498305,-0.04033699259637469,
2025-09-30,0001.HK,CK Hutchison,Conglomerate,37.13,-0.012237297153498305,0.006463775922434634,-0.04279453467388494,
2025-10-01,0001.HK,CK Hutchison,Conglomerate,37.37,0.006463775922434634,0.0072250468290073755,-0.02732951587714738,
2025-10-02,0001.HK,CK Hutchison,Conglomerate,37.64,0.0072250468290073755,0.014346439957491963,-0.008429926238145424,
2025-10-03,0001.HK,CK Hutchison,Conglomerate,38.18,0.014346439957491963,0.03666841278156108,-0.005470174524615845,
2025-10-06,0001.HK,CK Hutchison,Conglomerate,39.58,0.03666841278156108,0.005558362809499728,0.03315061341686243,
2025-10-07,0001.HK,CK Hutchison,Conglomerate,39.8,0.005558362809499728,-0.0060301507537686705,0.04215763288819052,
2025-10-08,0001.HK,CK Hutchison,Conglomerate,39.56,-0.0060301507537686705,0.0,0.0634408602150538,
2025-10-09,0001.HK,CK Hutchison,Conglomerate,39.56,0.0,-0.023003033367037462,0.054090061284305824,
2025-10-10,0001.HK,CK Hutchison,Conglomerate,38.65,-0.023003033367037462,-0.00853816300129362,0.046574600595721716,
2025-10-13,0001.HK,CK Hutchison,Conglomerate,38.32,-0.00853816300129362,-0.004958246346555284,0.03651609413037593,
2025-10-14,0001.HK,CK Hutchison,Conglomerate,38.13,-0.004958246346555284,-0.006556517178075039,0.027209051724138122,
2025-10-15,0001.HK,CK Hutchison,Conglomerate,37.88,-0.006556517178075039,0.002375923970432847,0.001851362073525431,
2025-10-16,0001.HK,CK Hutchison,Conglomerate,37.97,0.002375923970432847,-0.010271266789570688,0.02152273338714017,
2025-10-17,0001.HK,CK Hutchison,Conglomerate,37.58,-0.010271266789570688,0.015167642362958977,0.05236628395407439,
2025-10-20,0001.HK,CK Hutchison,Conglomerate,38.15,0.015167642362958977,0.0002621231979029748,0.06534487573303527,
2025-10-21,0001.HK,CK Hutchison,Conglomerate,38.16,0.0002621231979029748,0.0005241090146750338,0.04063266975729474,
2025-10-22,0001.HK,CK Hutchison,Conglomerate,38.18,0.0005241090146750338,-0.003928758512310115,0.023866988468758343,
2025-10-23,0001.HK,CK Hutchison,Conglomerate,38.03,-0.003928758512310115,0.0023665527215355198,0.016573108794440072,
2025-10-24,0001.HK,CK Hutchison,Conglomerate,38.12,0.0023665527215355198,0.01128016789087094,0.0252824098977944,
2025-10-27,0001.HK,CK Hutchison,Conglomerate,38.55,0.01128016789087094,-0.010894941634241095,0.025538707102952696,
2025-10-28,0001.HK,CK Hutchison,Conglomerate,38.13,-0.010894941634241095,-0.008392341987936036,0.02693239967681116,
2025-10-29,0001.HK,CK Hutchison,Conglomerate,37.81,-0.008392341987936036,-0.0034382438508331337,0.011774150388011995,
2025-10-30,0001.HK,CK Hutchison,Conglomerate,37.68,-0.0034382438508331337,-0.0172505307855626,0.0010626992561104665,
2025-10-31,0001.HK,CK Hutchison,Conglomerate,37.03,-0.0172505307855626,-0.010532001080205244,-0.030120481927710774,
2025-11-03,0001.HK,CK Hutchison,Conglomerate,36.64,-0.010532001080205244,-0.005731441048034913,-0.07427993936331478,
2025-11-04,0001.HK,CK Hutchison,Conglomerate,36.43,-0.005731441048034913,0.011803458687894564,-0.08467336683417082,
2025-11-05,0001.HK,CK Hutchison,Conglomerate,36.86,0.011803458687894564,0.0040694519804664875,-0.06825075834175942,
2025-11-06,0001.HK,CK Hutchison,Conglomerate,37.01,0.0040694519804664875,0.0029721696838691525,-0.06445904954499504,
2025-11-07,0001.HK,CK Hutchison,Conglomerate,37.12,0.0029721696838691525,0.0115840517241379,-0.03958602846054338,
2025-11-10,0001.HK,CK Hutchison,Conglomerate,37.55,0.0115840517241379,-0.0013315579227695107,-0.020093945720250583,
2025-11-11,0001.HK,CK Hutchison,Conglomerate,37.5,-0.0013315579227695107,0.005333333333333412,-0.01652242328874909,
2025-11-12,0001.HK,CK Hutchison,Conglomerate,37.7,0.005333333333333412,-0.0007957559681698312,-0.0047518479408659164,
2025-11-13,0001.HK,CK Hutchison,Conglomerate,37.67,-0.0007957559681698312,0.00398194850013267,-0.007900974453515897,
2025-11-14,0001.HK,CK Hutchison,Conglomerate,37.82,0.00398194850013267,-0.007403490216816522,0.006386375731772365,
2025-11-17,0001.HK,CK Hutchison,Conglomerate,37.54,-0.007403490216816522,-0.031699520511454415,-0.015989515072083904,
2025-11-18,0001.HK,CK Hutchison,Conglomerate,36.35,-0.031699520511454415,-0.0013755158184319827,-0.04743186582809211,
2025-11-19,0001.HK,CK Hutchison,Conglomerate,36.3,-0.0013755158184319827,0.019283746556473913,-0.0492404400209534,
2025-11-20,0001.HK,CK Hutchison,Conglomerate,37.0,0.019283746556473913,0.012702702702702684,-0.027083881146463318,
2025-11-21,0001.HK,CK Hutchison,Conglomerate,37.47,0.012702702702702684,0.013077128369362256,-0.01705141657922349,
2025-11-24,0001.HK,CK Hutchison,Conglomerate,37.96,0.013077128369362256,0.016596417281348863,-0.015304798962386457,-0.03089098800102119
2025-11-25,0001.HK,CK Hutchison,Conglomerate,38.59,0.016596417281348863,0.0015548069448041435,0.012063991607658142,-0.005155968032998115
